source,datafile,completeness,consider,note
KMI,KMI_6414_2003,-1,0,
KMI,KMI_6414_2004,0.998679577,1,
KMI,KMI_6414_2005,0.999596449,1,
KMI,KMI_6414_2006,0.99862543,1,
KMI,KMI_6414_2007,0.996527778,1,
KMI,KMI_6414_2008,0.99790795,1,
KMI,KMI_6414_2009,0.885766646,0,
KMI,KMI_6414_2010,1,1,
KMI,KMI_6414_2011,0.405079251,0,
KMI,KMI_6414_2012,0.805385231,0,
KMI,KMI_6414_2013,0.96438294,1,
KMI,KMI_6414_2014,1,1,
KMI,KMI_6414_2015,0.629396771,0,
KMI,KMI_6414_2016,1,1,
KMI,KMI_6414_2017,0.999737945,1,
KMI,KMI_6414_2018,0.999096658,1,
KMI,KMI_6414_2019,1,1,
KMI,KMI_6414_2020,0.981448763,1,
KMI,KMI_6414_2021,-1,0,
KMI,KMI_6418_2012,-1,0,
KMI,KMI_6418_2013,1,1,
KMI,KMI_6418_2014,0.632393085,0,
KMI,KMI_6418_2015,1,1,
KMI,KMI_6418_2016,1,1,
KMI,KMI_6418_2017,0.999521531,1,
KMI,KMI_6418_2018,1,1,
KMI,KMI_6418_2019,0.757190265,0,
KMI,KMI_6418_2020,0.965336821,1,
KMI,KMI_6418_2021,-1,0,
KMI,KMI_6431_2012,-1,0,
KMI,KMI_6431_2013,1,1,
KMI,KMI_6431_2014,1,1,
KMI,KMI_6431_2015,1,1,
KMI,KMI_6431_2016,1,1,
KMI,KMI_6431_2017,1,1,
KMI,KMI_6431_2018,0.168181818,0,
KMI,KMI_6431_2019,0,0,
KMI,KMI_6431_2020,0,0,
KMI,KMI_6431_2021,0,0,
KMI,KMI_6434_2002,-1,0,
KMI,KMI_6434_2003,0.88639201,0,
KMI,KMI_6434_2004,0.998302927,1,
KMI,KMI_6434_2005,0.913994169,0,
KMI,KMI_6434_2006,1,1,
KMI,KMI_6434_2007,0.999688376,1,
KMI,KMI_6434_2008,0.994935854,1,
KMI,KMI_6434_2009,0.781462837,0,
KMI,KMI_6434_2010,0.411550633,0,
KMI,KMI_6434_2011,0.479255774,0,
KMI,KMI_6434_2012,0.902604167,0,
KMI,KMI_6434_2013,1,1,
KMI,KMI_6434_2014,0.888074617,0,
KMI,KMI_6434_2015,0.936004785,0,
KMI,KMI_6434_2016,0.619242199,0,
KMI,KMI_6434_2017,1,1,
KMI,KMI_6434_2018,1,1,
KMI,KMI_6434_2019,0.999088838,1,
KMI,KMI_6434_2020,0.997099047,1,
KMI,KMI_6434_2021,-1,0,
KMI,KMI_6439_2007,-1,0,
KMI,KMI_6439_2008,0.997821351,1,
KMI,KMI_6439_2009,1,1,
KMI,KMI_6439_2010,1,1,
KMI,KMI_6439_2011,0.685674548,0,
KMI,KMI_6439_2012,0.997695853,1,
KMI,KMI_6439_2013,0.999650594,1,
KMI,KMI_6439_2014,0.833996024,0,
KMI,KMI_6439_2015,0.950283617,1,
KMI,KMI_6439_2016,1,1,
KMI,KMI_6439_2017,1,1,
KMI,KMI_6439_2018,0.999652295,1,
KMI,KMI_6439_2019,0.934673367,0,
KMI,KMI_6439_2020,0.99705635,1,
KMI,KMI_6439_2021,-1,0,
KMI,KMI_6447_2003,0.990023943,1,
KMI,KMI_6447_2004,0.992337165,1,
KMI,KMI_6447_2005,1,1,
KMI,KMI_6447_2006,1,1,
KMI,KMI_6447_2007,1,1,
KMI,KMI_6447_2008,0.99851632,1,
KMI,KMI_6447_2009,0.785983203,0,
KMI,KMI_6447_2010,1,1,
KMI,KMI_6447_2011,1,1,
KMI,KMI_6447_2012,0.993961353,1,
KMI,KMI_6447_2013,1,1,
KMI,KMI_6447_2014,1,1,
KMI,KMI_6447_2015,1,1,
KMI,KMI_6447_2016,1,1,
KMI,KMI_6447_2017,1,1,
KMI,KMI_6447_2018,1,1,
KMI,KMI_6447_2019,1,1,
KMI,KMI_6447_2020,0.994482173,1,
KMI,KMI_6447_2021,-1,0,
KMI,KMI_6455_2000,-1,0,
KMI,KMI_6455_2001,0.859464408,0,
KMI,KMI_6455_2002,1,1,
KMI,KMI_6455_2003,1,1,
KMI,KMI_6455_2004,0.99962321,1,
KMI,KMI_6455_2005,1,1,
KMI,KMI_6455_2006,0.99395233,1,
KMI,KMI_6455_2007,1,1,
KMI,KMI_6455_2008,0.995553085,1,
KMI,KMI_6455_2009,0.655015198,0,
KMI,KMI_6455_2010,0.994411571,1,
KMI,KMI_6455_2011,1,1,
KMI,KMI_6455_2012,0.996421115,1,
KMI,KMI_6455_2013,1,1,
KMI,KMI_6455_2014,1,1,
KMI,KMI_6455_2015,1,1,
KMI,KMI_6455_2016,1,1,
KMI,KMI_6455_2017,0.728462763,0,
KMI,KMI_6455_2018,1,1,
KMI,KMI_6455_2019,1,1,
KMI,KMI_6455_2020,0.993914036,1,
KMI,KMI_6455_2021,1,1,
KMI,KMI_6459_2000,-1,0,
KMI,KMI_6459_2001,0.950610275,1,
KMI,KMI_6459_2002,0.988078736,1,
KMI,KMI_6459_2003,1,1,
KMI,KMI_6459_2004,1,1,
KMI,KMI_6459_2005,1,1,
KMI,KMI_6459_2006,0.977394164,1,
KMI,KMI_6459_2007,1,1,
KMI,KMI_6459_2008,0.99771615,1,
KMI,KMI_6459_2009,0.990079365,1,
KMI,KMI_6459_2010,1,1,
KMI,KMI_6459_2011,0.992765957,1,
KMI,KMI_6459_2012,1,1,
KMI,KMI_6459_2013,0.947390751,0,
KMI,KMI_6459_2014,1,1,
KMI,KMI_6459_2015,1,1,
KMI,KMI_6459_2016,0.81559168,0,
KMI,KMI_6459_2017,1,1,
KMI,KMI_6459_2018,1,1,
KMI,KMI_6459_2019,1,1,
KMI,KMI_6459_2020,1,1,
KMI,KMI_6459_2021,-1,0,
KMI,KMI_6464_2012,-1,0,
KMI,KMI_6464_2013,0.986185725,1,
KMI,KMI_6464_2014,0.99795835,1,
KMI,KMI_6464_2015,0.541028729,0,
KMI,KMI_6464_2016,1,1,
KMI,KMI_6464_2017,1,1,
KMI,KMI_6464_2018,1,1,
KMI,KMI_6464_2019,1,1,
KMI,KMI_6464_2020,0.995875344,1,
KMI,KMI_6464_2021,-1,0,
KMI,KMI_6472_2002,-1,0,
KMI,KMI_6472_2003,0.86054197,0,
KMI,KMI_6472_2004,0.896934307,0,
KMI,KMI_6472_2005,0.939197531,0,
KMI,KMI_6472_2006,1,1,
KMI,KMI_6472_2007,1,1,
KMI,KMI_6472_2008,0.89,0,
KMI,KMI_6472_2009,0.998714653,1,
KMI,KMI_6472_2010,0.907948476,0,
KMI,KMI_6472_2011,0.484482469,0,
KMI,KMI_6472_2012,0.579235939,0,
KMI,KMI_6472_2013,0.878514589,0,
KMI,KMI_6472_2014,0.859431681,0,
KMI,KMI_6472_2015,0.692841019,0,
KMI,KMI_6472_2016,1,1,
KMI,KMI_6472_2017,1,1,
KMI,KMI_6472_2018,1,1,
KMI,KMI_6472_2019,0.963026361,1,
KMI,KMI_6472_2020,0.988156921,1,
KMI,KMI_6472_2021,-1,0,
KMI,KMI_6477_2004,-1,0,
KMI,KMI_6477_2005,0.999565028,1,
KMI,KMI_6477_2006,0.834653806,0,
KMI,KMI_6477_2007,0.987053994,1,
KMI,KMI_6477_2008,0.957038995,1,
KMI,KMI_6477_2009,0.997638725,0,interpolation_error in script.m
KMI,KMI_6477_2010,0.82778127,0,
KMI,KMI_6477_2011,1,1,
KMI,KMI_6477_2012,1,1,
KMI,KMI_6477_2013,0.917627677,0,
KMI,KMI_6477_2014,0.96835443,1,
KMI,KMI_6477_2015,1,1,
KMI,KMI_6477_2016,1,1,
KMI,KMI_6477_2017,1,1,
KMI,KMI_6477_2018,1,1,
KMI,KMI_6477_2019,1,1,
KMI,KMI_6477_2020,0.931034483,0,
KMI,KMI_6477_2021,-1,0,
KMI,KMI_6484_2003,-1,0,
KMI,KMI_6484_2004,0.907593523,0,
KMI,KMI_6484_2005,1,1,
KMI,KMI_6484_2006,0.918514561,0,
KMI,KMI_6484_2007,0.999756868,1,
KMI,KMI_6484_2008,0.877808345,0,
KMI,KMI_6484_2009,1,1,
KMI,KMI_6484_2010,1,1,
KMI,KMI_6484_2011,0.996937213,1,
KMI,KMI_6484_2012,1,1,
KMI,KMI_6484_2013,0.934963325,0,
KMI,KMI_6484_2014,1,1,
KMI,KMI_6484_2015,0.998454007,1,
KMI,KMI_6484_2016,1,1,
KMI,KMI_6484_2017,0.727450284,0,
KMI,KMI_6484_2018,0.602569093,0,
KMI,KMI_6484_2019,0.867185657,0,
KMI,KMI_6484_2020,0.980506823,1,
KMI,KMI_6484_2021,-1,0,
KMI,KMI_6494_2012,-1,0,
KMI,KMI_6494_2013,1,1,
KMI,KMI_6494_2014,1,1,
KMI,KMI_6494_2015,0.999831508,1,
KMI,KMI_6494_2016,1,1,
KMI,KMI_6494_2017,1,1,
KMI,KMI_6494_2018,0.91388836,0,
KMI,KMI_6494_2019,0.992891882,1,
KMI,KMI_6494_2020,0.922819972,0,
KMI,KMI_6494_2021,-1,0,
KMI,KMI_FS3_1898,1,1,
KMI,KMI_FS3_1899,1,1,
KMI,KMI_FS3_1900,1,1,
KMI,KMI_FS3_1901,1,1,
KMI,KMI_FS3_1902,1,1,
KMI,KMI_FS3_1903,1,1,
KMI,KMI_FS3_1904,1,1,
KMI,KMI_FS3_1905,1,1,
KMI,KMI_FS3_1906,1,1,
KMI,KMI_FS3_1907,1,1,
KMI,KMI_FS3_1908,1,1,
KMI,KMI_FS3_1909,1,1,
KMI,KMI_FS3_1910,1,1,
KMI,KMI_FS3_1911,1,1,
KMI,KMI_FS3_1912,1,1,
KMI,KMI_FS3_1913,1,1,
KMI,KMI_FS3_1914,1,1,
KMI,KMI_FS3_1915,1,1,
KMI,KMI_FS3_1916,1,1,
KMI,KMI_FS3_1917,1,1,
KMI,KMI_FS3_1918,1,1,
KMI,KMI_FS3_1919,1,1,
KMI,KMI_FS3_1920,1,1,
KMI,KMI_FS3_1921,1,1,
KMI,KMI_FS3_1922,1,1,
KMI,KMI_FS3_1923,1,1,
KMI,KMI_FS3_1924,1,1,
KMI,KMI_FS3_1925,1,1,
KMI,KMI_FS3_1926,1,1,
KMI,KMI_FS3_1927,1,1,
KMI,KMI_FS3_1928,1,1,
KMI,KMI_FS3_1929,1,1,
KMI,KMI_FS3_1930,1,1,
KMI,KMI_FS3_1931,1,1,
KMI,KMI_FS3_1932,1,1,
KMI,KMI_FS3_1933,1,1,
KMI,KMI_FS3_1934,1,1,
KMI,KMI_FS3_1935,1,1,
KMI,KMI_FS3_1936,1,1,
KMI,KMI_FS3_1937,1,1,
KMI,KMI_FS3_1938,1,1,
KMI,KMI_FS3_1939,1,1,
KMI,KMI_FS3_1940,1,1,
KMI,KMI_FS3_1941,1,1,
KMI,KMI_FS3_1942,1,1,
KMI,KMI_FS3_1943,1,1,
KMI,KMI_FS3_1944,1,1,
KMI,KMI_FS3_1945,1,1,
KMI,KMI_FS3_1946,1,1,
KMI,KMI_FS3_1947,1,1,
KMI,KMI_FS3_1948,1,1,
KMI,KMI_FS3_1949,1,1,
KMI,KMI_FS3_1950,1,1,
KMI,KMI_FS3_1951,1,1,
KMI,KMI_FS3_1952,1,1,
KMI,KMI_FS3_1953,1,1,
KMI,KMI_FS3_1954,1,1,
KMI,KMI_FS3_1955,1,1,
KMI,KMI_FS3_1956,1,1,
KMI,KMI_FS3_1957,1,1,
KMI,KMI_FS3_1958,1,1,
KMI,KMI_FS3_1959,1,1,
KMI,KMI_FS3_1960,1,1,
KMI,KMI_FS3_1961,1,1,
KMI,KMI_FS3_1962,1,1,
KMI,KMI_FS3_1963,1,1,
KMI,KMI_FS3_1964,1,1,
KMI,KMI_FS3_1965,1,1,
KMI,KMI_FS3_1966,1,1,
KMI,KMI_FS3_1967,1,1,
KMI,KMI_FS3_1968,1,1,
KMI,KMI_FS3_1969,1,1,
KMI,KMI_FS3_1970,1,1,
KMI,KMI_FS3_1971,1,1,
KMI,KMI_FS3_1972,1,1,
KMI,KMI_FS3_1973,1,1,
KMI,KMI_FS3_1974,1,1,
KMI,KMI_FS3_1975,1,1,
KMI,KMI_FS3_1976,1,1,
KMI,KMI_FS3_1977,1,1,
KMI,KMI_FS3_1978,1,1,
KMI,KMI_FS3_1979,1,1,
KMI,KMI_FS3_1980,1,1,
KMI,KMI_FS3_1981,1,1,
KMI,KMI_FS3_1982,1,1,
KMI,KMI_FS3_1983,1,1,
KMI,KMI_FS3_1984,1,1,
KMI,KMI_FS3_1985,1,1,
KMI,KMI_FS3_1986,1,1,
KMI,KMI_FS3_1987,1,1,
KMI,KMI_FS3_1988,1,1,
KMI,KMI_FS3_1989,1,1,
KMI,KMI_FS3_1990,1,1,
KMI,KMI_FS3_1991,1,1,
KMI,KMI_FS3_1992,1,1,
KMI,KMI_FS3_1993,1,1,
KMI,KMI_FS3_1994,1,1,
KMI,KMI_FS3_1995,1,1,
KMI,KMI_FS3_1996,1,1,
KMI,KMI_FS3_1997,1,1,
KMI,KMI_FS3_1998,1,1,
KMI,KMI_FS3_1999,1,1,
KMI,KMI_FS3_2000,1,1,
KMI,KMI_FS3_2001,1,1,
KMI,KMI_FS3_2002,1,1,
VMM,P01_001_2018,-1,0,
VMM,P01_003_2004,-1,0,
VMM,P01_003_2005,0.999447208,1,
VMM,P01_003_2006,0.999441341,1,
VMM,P01_003_2007,0.771866717,0,
VMM,P01_003_2008,0.976264481,1,
VMM,P01_003_2009,0.482050603,0,
VMM,P01_003_2010,0.998112699,1,
VMM,P01_003_2011,0.651791326,0,
VMM,P01_003_2012,0.95988935,1,
VMM,P01_003_2013,0.885883155,0,
VMM,P01_003_2014,1,1,
VMM,P01_003_2015,0.896373057,0,
VMM,P01_003_2016,1,1,
VMM,P01_003_2017,0.997391304,1,
VMM,P01_003_2018,1,1,
VMM,P01_003_2019,0.945547362,0,
VMM,P01_003_2020,0.999133449,1,
VMM,P01_003_2021,1,1,
VMM,P01_010_2004,-1,0,
VMM,P01_010_2005,0.898659103,0,
VMM,P01_010_2006,0.816990291,0,
VMM,P01_010_2007,0.835008179,0,
VMM,P01_010_2008,0.977172717,1,
VMM,P01_010_2009,0.779814438,0,
VMM,P01_010_2010,0.995390377,1,
VMM,P01_010_2011,0.8802515,0,
VMM,P01_010_2012,0.982737661,1,
VMM,P01_010_2013,0.312018376,0,
VMM,P01_010_2014,0.177440965,0,
VMM,P01_010_2015,0.999699158,1,
VMM,P01_010_2016,0.987887324,1,
VMM,P01_010_2017,0.996311097,1,
VMM,P01_010_2018,1,1,
VMM,P01_010_2019,0.999702381,1,
VMM,P01_010_2020,0.999448732,1,
VMM,P01_010_2021,-1,0,
VMM,P01_015_2004,-1,0,
VMM,P01_015_2005,0.905433647,0,
VMM,P01_015_2006,0.761716018,0,
VMM,P01_015_2007,0.9,0,
VMM,P01_015_2008,0.97,1,
VMM,P01_015_2009,0.997792494,1,
VMM,P01_015_2010,0.487432537,0,
VMM,P01_015_2011,0.999318337,1,
VMM,P01_015_2012,0.982667309,1,
VMM,P01_015_2013,0.802202742,0,
VMM,P01_015_2014,0.992957746,1,
VMM,P01_015_2015,1,1,
VMM,P01_015_2016,0.859914939,0,
VMM,P01_015_2017,0.996649406,1,
VMM,P01_015_2018,1,1,
VMM,P01_015_2019,0.997861289,1,
VMM,P01_015_2020,0.997657394,1,
VMM,P01_015_2021,-1,0,
VMM,P01_029_2008,-1,0,
VMM,P01_029_2009,0.998099891,1,
VMM,P01_029_2010,0.951902748,1,
VMM,P01_029_2011,0.353186498,0,
VMM,P01_029_2012,0.084473808,0,
VMM,P01_029_2013,0.898366104,0,
VMM,P01_029_2014,0.605079217,0,
VMM,P01_029_2015,0.981623277,1,
VMM,P01_029_2016,1,1,
VMM,P01_029_2017,0.987149918,1,
VMM,P01_029_2018,1,1,
VMM,P01_029_2019,0.907924743,0,
VMM,P01_029_2020,0.942762796,0,
VMM,P01_029_2021,-1,0,
VMM,P01_037_2008,-1,0,
VMM,P01_037_2009,0.798709677,0,
VMM,P01_037_2010,0.33698689,0,
VMM,P01_037_2011,0.335023143,0,
VMM,P01_037_2012,0.039771365,0,
VMM,P01_037_2013,0.345898004,0,
VMM,P01_037_2014,0.107111992,0,
VMM,P01_037_2015,0.999392835,1,
VMM,P01_037_2016,0.998781231,1,
VMM,P01_037_2017,0.996995995,1,
VMM,P01_037_2018,1,1,
VMM,P01_037_2019,0.795130795,0,
VMM,P01_037_2020,0.967004342,1,
VMM,P01_037_2021,-1,0,
VMM,P02_004_2004,-1,0,
VMM,P02_004_2005,0.867164899,0,
VMM,P02_004_2006,0.829399392,0,
VMM,P02_004_2007,0.893911007,0,
VMM,P02_004_2008,0.968198824,1,
VMM,P02_004_2009,0.995416554,1,
VMM,P02_004_2010,0.996024845,1,
VMM,P02_004_2011,0.995616598,1,
VMM,P02_004_2012,0.981991996,1,
VMM,P02_004_2013,0.858249086,0,
VMM,P02_004_2014,0.992855016,1,
VMM,P02_004_2015,0.618765066,0,
VMM,P02_004_2016,0.889824393,0,
VMM,P02_004_2017,0.997899711,1,
VMM,P02_004_2018,1,1,
VMM,P02_004_2019,0.114971803,0,
VMM,P02_004_2020,0.999637812,1,
VMM,P02_004_2021,-1,0,
VMM,P02_008_2004,-1,0,
VMM,P02_008_2005,1,1,
VMM,P02_008_2006,0.448198198,0,
VMM,P02_008_2007,0.790111248,0,
VMM,P02_008_2008,0.557813077,0,
VMM,P02_008_2009,0.986858191,1,
VMM,P02_008_2010,0.620278695,0,
VMM,P02_008_2011,0.994915793,1,
VMM,P02_008_2012,0.980792609,1,
VMM,P02_008_2013,0.85572843,0,
VMM,P02_008_2014,1,1,
VMM,P02_008_2015,0.80447693,0,
VMM,P02_008_2016,0.994680851,1,
VMM,P02_008_2017,0.996781744,1,
VMM,P02_008_2018,1,1,
VMM,P02_008_2019,0.996081977,1,
VMM,P02_008_2020,0.997673066,1,
VMM,P02_008_2021,-1,0,
VMM,P02_030_2012,0.011008538,0,
VMM,P02_030_2013,0.440940196,0,
VMM,P02_030_2014,0.770604396,0,
VMM,P02_030_2015,0.96635183,1,
VMM,P02_030_2016,0.775116279,0,
VMM,P02_030_2017,0.997978047,1,
VMM,P02_030_2018,1,1,
VMM,P02_030_2019,0.639733444,0,
VMM,P02_030_2020,0.959123223,1,
VMM,P02_030_2021,0,0,
VMM,P03_005_2004,-1,0,
VMM,P03_005_2005,0.901408451,0,
VMM,P03_005_2006,0.859608209,0,
VMM,P03_005_2007,0.899977216,0,
VMM,P03_005_2008,0.944027138,0,
VMM,P03_005_2009,0.990503825,1,
VMM,P03_005_2010,0.979381443,1,
VMM,P03_005_2011,0.88869694,0,
VMM,P03_005_2012,0.971889301,1,
VMM,P03_005_2013,0.877526754,0,
VMM,P03_005_2014,1,1,
VMM,P03_005_2015,0.991143725,1,
VMM,P03_005_2016,0.969320672,1,
VMM,P03_005_2017,0.996878252,1,
VMM,P03_005_2018,1,1,
VMM,P03_005_2019,0.999227998,1,
VMM,P03_005_2020,0.998976197,1,
VMM,P03_005_2021,-1,0,
VMM,P03_017_2004,-1,0,
VMM,P03_017_2005,0.879355174,0,
VMM,P03_017_2006,0.838645911,0,
VMM,P03_017_2007,0.883296324,0,
VMM,P03_017_2008,0.941504178,0,
VMM,P03_017_2009,0.988860326,1,
VMM,P03_017_2010,0.995130702,1,
VMM,P03_017_2011,0.363555893,0,
VMM,P03_017_2012,0.543265414,0,
VMM,P03_017_2013,0.126544944,0,
VMM,P03_017_2014,0.999688085,1,
VMM,P03_017_2015,0.792486943,0,
VMM,P03_017_2016,0.321173469,0,
VMM,P03_017_2017,0.997947665,1,
VMM,P03_017_2018,1,1,
VMM,P03_017_2019,0.978939355,1,
VMM,P03_017_2020,0.998420637,1,
VMM,P03_017_2021,-1,0,
VMM,P03_036_2008,-1,0,
VMM,P03_036_2009,0.961737332,1,
VMM,P03_036_2010,1,1,
VMM,P03_036_2011,0.985484707,1,
VMM,P03_036_2012,1,1,
VMM,P03_036_2013,0.785128205,0,
VMM,P03_036_2014,0.617152236,0,
VMM,P03_036_2015,0.933895539,0,
VMM,P03_036_2016,0.985179197,1,
VMM,P03_036_2017,0.989856298,1,
VMM,P03_036_2018,1,1,
VMM,P03_036_2019,0.691721788,0,
VMM,P03_036_2020,0.994136617,1,
VMM,P03_036_2021,-1,0,
VMM,P03_041_2009,0.925118483,0,
VMM,P03_041_2010,1,1,
VMM,P03_041_2011,0.998896247,1,
VMM,P03_041_2012,0.896143566,0,
VMM,P03_041_2013,0.874848705,0,
VMM,P03_041_2014,0.981295925,1,
VMM,P03_041_2015,0.920900851,0,
VMM,P03_041_2016,0.994962217,1,
VMM,P03_041_2017,0.998190591,1,
VMM,P03_041_2018,1,1,
VMM,P03_041_2019,0.988679245,1,
VMM,P03_041_2020,0.985995999,1,
VMM,P03_041_2021,-1,0,
VMM,P04_001_2004,-1,0,
VMM,P04_001_2005,0.968790219,1,
VMM,P04_001_2006,0.561068702,0,
VMM,P04_001_2007,0.711954304,0,
VMM,P04_001_2008,0.942783209,0,
VMM,P04_001_2009,0.988400488,1,
